TAB: Email Log
Timestamp,Thread ID,Message ID,Subject,From,Category,Confidence,Secondary Category,Sentiment Score,Sentiment Label,VIP,Urgent,Sarcastic,Language,Draft Created,Labels Applied,Word Count,Body Snippet
2024-06-15 09:03:12,18feab12c3d,msg001,Invoice #1087 – incorrect amount,Anna Kovács <anna.kovacs@startupxyz.com>,BILLING,0.87,,0.02,neutral,Yes,No,No,en,Yes,"Kaptar/Processed, Kaptar/Category/BILLING, Kaptar/VIP, Kaptar/DraftCreated",52,I received invoice #1087 for April and the total shows €450 but my monthly membership plan...
2024-06-15 09:03:14,18feab13d4e,msg002,Unacceptable noise levels this morning,Ursula Steiner <ursula.s@viennadesign.at>,COMPLAINT,0.91,,−0.72,negative,No,Yes,No,en,Yes,"Kaptar/Processed, Kaptar/Category/COMPLAINT, Kaptar/Urgent, Kaptar/DraftCreated",78,I need to formally complain about the noise level in the main coworking area this morning...
2024-06-15 09:03:16,18feab14e5f,msg003,Board room booking for 15 people – 20 June,Kata Horváth <kata.h@agencybudapest.hu>,BOOKING,0.85,,0.10,neutral,No,No,No,en,Yes,"Kaptar/Processed, Kaptar/Category/BOOKING, Kaptar/DraftCreated",55,I'd like to book your largest conference room for a full-day workshop on 20 June...
2024-06-15 09:03:18,18feab15f60,msg004,Do you offer day passes?,Elena Rossi <elena.r@milan.it>,INFO_REQUEST,0.82,,0.05,neutral,No,No,No,en,Yes,"Kaptar/Processed, Kaptar/Category/INFO_REQUEST, Kaptar/DraftCreated",42,I'll be in Budapest for a week on business and I'm wondering if you offer day passes...
2024-06-15 09:03:20,18feab16071,msg005,Upgrading from Flexi to Dedicated Desk,Orsolya Kiss <orsolya.k@budapeststartup.hu>,MEMBERSHIP,0.88,,0.05,neutral,No,No,No,en,Yes,"Kaptar/Processed, Kaptar/Category/MEMBERSHIP, Kaptar/DraftCreated",47,I've been a Flexi member for 3 months and I'd like to upgrade to a Dedicated Desk plan...
2024-06-15 09:03:22,18feab17182,msg006,LIMITED TIME OFFER – Click here now!!!,deals@superoffers247.com,SPAM,0.93,,0.35,positive,No,No,No,en,No,"Kaptar/Processed, Kaptar/Category/SPAM",19,Dear Friend CONGRATULATIONS You have been selected as a WINNER of our exclusive prize draw...
2024-06-15 09:03:24,18feab18293,msg007,Internet has been down for 3 hours,Victor Russo <victor.russo@milanstudio.it>,COMPLAINT,0.89,,−0.81,negative,No,Yes,No,en,Yes,"Kaptar/Processed, Kaptar/Category/COMPLAINT, Kaptar/Urgent, Kaptar/DraftCreated",67,This is ridiculous. The WiFi has been completely down since 9am and it's now noon...
2024-06-15 09:03:26,18feab193a4,msg008,Oh great – the wifi is down again,Dan O'Malley <dan.om@corkdigital.ie>,COMPLAINT,0.77,,−0.45,negative,No,Yes,Yes,en,No,"Kaptar/Processed, Kaptar/Category/COMPLAINT, Kaptar/Urgent",41,Oh wonderful the WiFi is down again for the third time this week. Brilliant management...

TAB: Dashboard
KAPTAR EMAIL TRIAGE — DASHBOARD,,
Last updated:,2024-06-15 09:03:26,
,,
OVERVIEW,,
Total emails processed,8,
Emails today,8,
Avg. confidence,0.87,
Avg. sentiment,-0.18,
VIP emails,1,
Urgent emails,3,
Auto-drafts created,7,
,,
BY CATEGORY,Count,% of Total
BILLING,1,12.5%
BOOKING,1,12.5%
COMPLAINT,3,37.5%
INFO_REQUEST,1,12.5%
MEMBERSHIP,1,12.5%
SPAM,1,12.5%

NOTES ON COLUMN DEFINITIONS:
Column,Type,Description
Timestamp,DateTime,"Date and time the email was processed, in script timezone"
Thread ID,String,"Gmail thread ID (unique per conversation thread)"
Message ID,String,"Gmail message ID (unique per individual message)"
Subject,String,"Email subject line"
From,String,"Sender display name and email address"
Category,String,"Primary triage category: BILLING | BOOKING | COMPLAINT | INFO_REQUEST | MEMBERSHIP | SPAM"
Confidence,Number,"Confidence score 0–1. Scores ≥ 0.8 trigger auto-draft replies."
Secondary Category,String,"Secondary category if a second category also scored above threshold (may be empty)"
Sentiment Score,Number,"Sentiment from −1 (very negative) to +1 (very positive)"
Sentiment Label,String,"positive | neutral | negative"
VIP,String,"Yes if sender is in VIP email or domain list, No otherwise"
Urgent,String,"Yes if sentiment < −0.4 or category = COMPLAINT"
Sarcastic,String,"Yes if sarcasm heuristic triggered (confidence reduced by 0.1)"
Language,String,"en (English) | unknown — basic heuristic detection"
Draft Created,String,"Yes if an auto-draft reply was created in Gmail"
Labels Applied,String,"Comma-separated list of Gmail labels applied to the thread"
Word Count,Number,"Word count of the plain-text email body"
Body Snippet,String,"First 300 characters of the plain-text body (HTML stripped)"
